query,correct_answer,correct_answer_aliases,response,is_correct
how did the dominican republic get its name,"patron saint, Saint Dominic","[""patron saint, Saint Dominic""]","The Dominican Republic was named after its capital city, Santo Domingo, which was named after its patron saint, Saint Dominic. It was commonly known as such in English until the early 20th century. The country's residents are called dominicanos, which is the adjective form of ""domingo,"" and the revolutionaries named their newly independent country ""la república dominicana.""",True
who plays noah newman on the young and the restless,Robert Gillespie Adamson IV,"[""Robert Gillespie Adamson IV""]",Robert Adamson plays Noah Newman on The Young and the Restless.,False
when was where have all the flowers gone written,1955,"[""1955""]",I don't know.,False
state the process that divides one nucleus into two genetically identical nuclei,mitosis,"[""mitosis""]","The process that divides one nucleus into two genetically identical nuclei is called mitosis. During mitosis, the chromosomes are replicated and then separated, with each daughter cell receiving one set of chromosomes. The nuclear envelope breaks down, and the chromosomes are pulled to opposite poles of the cell by the mitotic spindle. The cell then divides into two genetically identical daughter cells.",True
who present the central budget in lok sabha,the Finance Minister of India,"[""the Finance Minister of India""]",The Finance Minister of India presents the central budget in the Lok Sabha.,True
who changed the role of the first lady,Dolley Madison,"[""Dolley Madison""]","The role of the first lady has evolved over the centuries, with different first ladies taking on different responsibilities and duties. However, it is difficult to pinpoint a single individual who changed the role of the first lady. The position of the first lady is not an elected one and carries only ceremonial duties. Nonetheless, first ladies have held a highly visible position in American society and have played important roles in shaping the perception of the role of the first lady.",False
when did sussex split into east and west,1832,"[""1832"", ""1889""]","Sussex split into east and west in 1889, based on the boundaries of the two archdeaconries of Chichester and Lewes.",True
when is the last time congress passed a complete budget,FY2010,"[""FY2010"", ""March 23, 2013""]",I don't know.,False
who played tom in four weddings and a funeral,James Fleet,"[""James Fleet""]",Hugh Grant played Tom in Four Weddings and a Funeral.,False
who laid foundation stone of islamia college peshawar,Haji Sahib,"[""Haji Sahib"", ""Haji Sahib of Turangzai""]",The foundation stone of Islamia College Peshawar was laid by Nawab Sir Sahibzada Abdul Qayyum.,False
what dynasty completed the great wall of china,Qin,"[""Qin"", ""Ming dynasty"", ""Qing""]",The Great Wall of China was built by the Ming dynasty (1368-1644).,True
who invented the cornell method of note taking,Walter Pauk,"[""Walter Pauk""]",Walter Pauk invented the Cornell method of note taking.,True
character in macbeth who is murdered and appears as a ghost,Lord Banquo,"[""Lord Banquo"", ""Banquo""]",Banquo,True
when did macbook pro 13 inch come out,October 2008,"[""October 2008"", ""June 8, 2009""]",The MacBook Pro 13-inch was first released in October 2010.,False
what part of brain is responsible for complex thinking,the frontal lobe,"[""the frontal lobe""]","The decision-maker's environment can play a part in the decision-making process. For example, environmental complexity is a factor that influences cognitive function. Studies done at the University of Colorado have shown that more complex environments correlate with higher cognitive function, which means that a decision can be influenced by the location. One experiment measured complexity in a room by the number of small objects and appliances present; a simple room had less of those things. Cognitive function was greatly affected by the higher measure of environmental complexity, making it easier to think about the situation and make a better decision.

The two hemispheres of the cerebral cortex are linked by the corpus callosum, through which",False
who sang for lee bowman in my dream is yours,Hal Derwin,"[""Hal Derwin""]",I don't know.,False
who played shaggy in the new scooby doo movie,Matthew Lyn Lillard,"[""Matthew Lyn Lillard""]",Matthew Lillard played Shaggy in the new Scooby-Doo movie.,False
colby chees is named after a town in what state,Wisconsin,"[""Wisconsin""]",I don't know.,False
who carried florida by 537 votes in 2000,George W. Bush,"[""George W. Bush"", ""Bush""]",George W. Bush carried Florida by 537 votes in the 2000 presidential election.,True
what language is the olympic anthem sang in,Greek,"[""Greek""]","The Olympic anthem is usually sung in the official language(s) of the host country, or in English or Greek if the host country does not have an official language. However, it can also be sung in other languages depending on the circumstances.",True
what is the longest panic at the disco song title,Bohemian Rhapsody,"[""Bohemian Rhapsody""]","""panic! at the disco"" is the longest song title.",False
how many times has lake placid hosted the winter olympics,twice,"[""twice""]","Lake Placid has hosted the Winter Olympics twice, in 1932 and 1980.",True
when did india win their first cricket match,1952,"[""1952""]",India won their first cricket match in 1877 against the Europeans in Bombay.,False
what parts make up the peripheral nervous system,autonomic nervous system,"[""autonomic nervous system"", ""somatic nervous system""]","The peripheral nervous system (PNS) is made up of nerves, which are bundles of fibers (axons of neurons) that emanate from the brain and spinal cord and branch repeatedly to innervate every part of the body. The PNS is divided into somatic and visceral parts. The somatic part consists of nerves that innervate the skin, joints, and muscles, while the visceral part, also known as the autonomic nervous system, contains neurons that innervate internal organs, blood vessels, and glands. The autonomic nervous system is further divided into the sympathetic nervous system and the parasympathetic",True
who appoints the chair of the federal reserve system,President of the United States,"[""President of the United States""]",The president of the United States appoints the chair of the Federal Reserve System.,True
where is the love meaning of the song,lament on various worldwide problems,"[""lament on various worldwide problems""]","The song ""What is Love"" by the Black Eyed Peas is about questioning the meaning of love in the world. The music video features various people, including children, asking where the love is. The song was written and produced by Dee Dee Halligan and Junior Torello of Coconut Records in Cologne, and was sung by Nestor Alexander Haddaway. The origin of the phrase ""cats in the cradle"" is unclear, but it may refer to a situation where a baby has grown past cradle age, and the cat is free to sit in the cradle.",False
when is the flash coming back after christmas,"January 16, 2018","[""January 16, 2018""]",I don't know.,False
who does the voice of the elephant in sing,Tori Kelly,"[""Tori Kelly""]",I don't know.,False
who sang i knew the bride when she used to rock and roll,Dave Edmunds,"[""Dave Edmunds""]",I don't know.,False
is jaffa cakes a biscuit or a cake,Cake,"[""Cake"", ""biscuit-sized cakes"", ""cakes""]","Jaffa cakes are considered a cake in the United Kingdom, as they are usually eaten as a dessert and are assessed based on their size, shape, and the fact that they are often eaten in place of biscuits.",True
what kind of sentence contains an independent clause and a dependent clause,A complex sentence,"[""A complex sentence"", ""complex sentence""]",A sentence that contains an independent clause and a dependent clause is called a complex sentence.,True
ahana from dil sambhal ja zara real name,Smriti Kalra,"[""Smriti Kalra""]",I don't know,False
when was the first ford f 150 made,1975,"[""1975""]",The first Ford F-150 was made in 1975.,True
when did john steinbeck write of mice and me,1937,"[""1937""]",I don't know.,False
computer based models of real life situation are called,Computer simulation,"[""Computer simulation"", ""Computer simulations""]","Computer-based models of real-life situations are called simulations. They are used to discern what would happen in the real world if certain conditions were developed, and to test new theories. Simulations can be idealized or approximate, and can be used to model complex systems that are computationally feasible to compute. They are often used in physics, chemistry, biology, economics, and social science, as well as in engineering.",False
who was the killer in the movie i know what you did last summer,Ben Willis,"[""Ben Willis""]","The killer in the movie ""I Know What You Did Last Summer"" is Ben Willis, played by Brian Matthews.",True
what is the largest ethnic group in mexico today,K'iche',"[""K'iche'""]","The largest ethnic group in Mexico today is the mestizo group, which is composed of people of mixed indigenous and European ancestry.",False
what is the meaning of cc and bcc,Carbon copy,"[""Carbon copy"", ""Carbon copy to secondary recipients"", ""Blind carbon copy""]","In common usage, the ""to"" field recipients are the primary audience of the message, the ""cc"" field recipients are others to whom the author wishes to send the message publicly, and the ""bcc"" field recipients are the others to whom the message is sent privately. The ""cc"" field is visible to all other recipients of the message, while the ""bcc"" field is hidden from other recipients. It is considered good practice to indicate to other recipients when a new participant has been added to the list of receivers. It is common practice to use the ""bcc"" field when addressing a very long list of recipients or a list of recipients that should not know each",False
when was the first time lebron went to the finals,2007,"[""2007""]","LeBron James first appeared in the NBA Finals in 2007, when he was a member of the Cleveland Cavaliers.",True
who plays gram on the young and the restless,Max Shippee,"[""Max Shippee""]",I don't know.,False
what are some special products made in mississippi,farm-raised catfish,"[""farm-raised catfish""]",I don't know.,False
when did the movie varsity blues come out,1999,"[""1999"", ""January 15, 1999""]",I don't know.,False
aphasia is a term defining difficulty or loss of ability to,comprehend and formulate language,"[""comprehend and formulate language"", ""formulate language""]","communicate due to damage in specific brain regions caused by stroke or head trauma. It affects the socially shared rules and thought processes behind verbalized speech, and can range from occasional trouble finding words to losing the ability to speak, read, or write. Expressive and receptive language can both be affected, and anomia is a common deficit. Aphasia is best thought of as a collection of different disorders, and each individual with aphasia will present with their own particular combination of language strengths and weaknesses.",False
who has the most restaurants in the world,SUBWAY,"[""SUBWAY""]",I don't know.,False
who holds the record for most everest summits,Kami Rita,"[""Kami Rita"", ""Phurba Tashi Sherpa"", ""Apa Sherpa"", ""Phurba Tashi"", ""Kami Rita Sherpa""]",Apa holds the record for most Everest summits.,False
when was the japanese videogame company nintendo founded,23 September 1889,"[""23 September 1889""]","Nintendo was founded on September 23, 1889.",False
who are the judges on the fisa court,Thomas Russell,"[""Thomas Russell"", ""Claire Eagan"", ""Dennis Saylor"", ""Anne Conway"", ""Raymond Dearie"", ""Robert Kugler"", ""James Jones"", ""Rudolph Contreras"", ""Jeb Boasberg"", ""Michael Mosman""]","The judges on the FISA court are appointed by the chief justice of the United States without confirmation or oversight by the U.S. Congress. The court is composed of eleven judges, and no judge may be appointed to this court more than once. The USA Freedom Act requires the government to declassify and publicly release ""to the greatest extent practicable"" each order, decision, and opinion of the court if it contains a ""significant construction or interpretation of law.""",False
when did the nest 3rd generation come out,"September 1, 2015","[""September 1, 2015""]",I don't know.,False
who is known as the philippine queen of bossa nova,Sitti Navarro,"[""Sitti Navarro""]",Kyla is known as the Philippine queen of bossa nova.,False
when was the last time dallas cowboys won the super bowl,1995,"[""1995""]",The Dallas Cowboys won Super Bowl VI against the Miami Dolphins in 1972.,False
who is the ceo of what's up,Jan Koum,"[""Jan Koum""]",I don't know.,False
who's playing in the sec championship 2017,Auburn Tigers,"[""Auburn Tigers"", ""Georgia Bulldogs""]",The 2017 SEC Championship Game was played between the Eastern Division champion Georgia Bulldogs and the Western Division co-champion Auburn Tigers.,True
all time highest goal scorer in spain national team,David Villa,"[""David Villa""]",Villa is the all-time top scorer for the Spain national team with 59 goals in 97 matches.,False
when did equus first appear in fossil record,1820s,"[""1820s"", ""~3.5 million years old"", ""about 3.5 mya""]","Equus first appeared in the fossil record in the Eocene layers of North American strata, mainly in the Wind River Basin in Wyoming.",False
who is credited with developing the geocentric view,Ptolemy,"[""Ptolemy""]",Anaximander is credited with developing the geocentric view.,False
where was the world economic forum held this year,Davos,"[""Davos""]",I don't know.,False
what is the meaning of the name habib,"""beloved""","[""\""beloved\"""", ""beloved""]","The name Habib is an Arabic masculine given name and occasional surname, meaning ""beloved"". It is popular throughout the Muslim world and is sometimes used as an honorific for Muslim scholars of Sayyid families. It is not confined to Muslims and can be found in Christian individuals as well.",True
where is the boy who played charlie in willy wonka,Peter Gardner[4] Ostrum,"[""Peter Gardner[4] Ostrum"", ""Lowville, New York""]",I don't know.,False
who inaugurated 'world teachers' day',UNESCO,"[""UNESCO"", ""ILO""]",UNESCO inaugurated World Teachers' Day on October 5th.,True
what is the form of mozart symphony no 40,G minor,"[""G minor"", ""minor key symphonies""]","The form of Mozart's Symphony No. 40 is a three-movement structure, without an introduction and without a finale of the scale of No. 41.",False
how many tornado planes does the uk have,138,"[""138""]",I don't know.,False
what is the population of st petersburg fl,"260,999","[""260,999"", ""257,083""]","The population of St. Petersburg, Florida is 257,083 according to the 2015 census estimate.",True
when did they stop making jello pudding pops,the 90s,"[""the 90s"", ""around 2011""]",I don't know.,False
when did movies start coming out in color,introduced around 1940,"[""introduced around 1940"", ""1895""]",Movies started coming out in color in the early 1960s.,False
where was the movie i am number 4 filmed,the Pittsburgh metropolitan area,"[""the Pittsburgh metropolitan area""]",I don't know.,False
who wins america's next top model cycle 20,Jourdan Miller,"[""Jourdan Miller""]",India Gants wins America's Next Top Model cycle 20.,False
who starred in the film walk the line,Ginnifer Goodwin,"[""Ginnifer Goodwin"", ""Reese Witherspoon"", ""Dallas Roberts"", ""Joaquin Phoenix"", ""Robert Patrick""]",Joaquin Phoenix starred in the film Walk the Line.,True
who monitor the recovery of the location during a disaster,management team,"[""management team""]","The management team monitors the recovery of the location during a disaster. They coordinate the recovery process, assess the disaster, activate the recovery plan, and oversee the execution of the plan. They also document and monitor the recovery process and make decisions on the course of action.",True
how old is baby in dirty dancing movie,17-year-old,"[""17-year-old"", ""17""]",I don't know.,False
when does the second half of vikings season 5 air,2018,"[""2018"", ""in 2018""]",I don't know.,False
trick taking card game name derived from spanish for man,Skat,"[""Skat""]","Trick-taking card game name derived from Spanish for man: ""hombre""",False
how many countries participated for the first time in the 2014 olympic winter games in sochi,Brazil,"[""Brazil"", ""Uzbekistan"", ""Turkey""]","88 countries participated in the 2014 Olympic Winter Games in Sochi, which was a new record at the time.",False
when is the last time the philadelphia won the superbowl,"Super Bowl LII,","[""Super Bowl LII,"", ""2017""]",The last time the Philadelphia Eagles won the Super Bowl was in 2017.,True
is there a name for the at symbol,commercial at,"[""commercial at"", ""at symbol"", ""at sign""]","Yes, the at symbol is commonly referred to as the ""at sign"" or the ""commercial at"".",True
who said beware of the ides of march,the soothsayer,"[""the soothsayer"", ""a seer"", ""a haruspex named Spurinna""]","The famous quote ""Beware the ides of March"" is from the play Julius Caesar by William Shakespeare. The line is spoken by the Soothsayer to Julius Caesar, warning him of danger on the Ides of March.",True
who sang the theme song for laverne and shirley,Cyndi Grecco,"[""Cyndi Grecco""]","Cyndi Grecco sang the theme song for Laverne & Shirley called ""Making Our Dreams Come True"".",True
when is the end of the football season,"February 4, 2018","[""February 4, 2018""]","The end of the football season depends on the state and the specific league or organization. Some states allow seven on seven scrimmages, while others prohibit formal practices during most of the summer. Near the end of the summer in mid-august, double sessions tend to begin and usually last for one week or until school starts. After double sessions end, regular season practices begin with daily sessions each week day afternoon except on game day. Practices are often held on Saturday as well, but almost never on Sunday. The game ends when a pre-determined number of touchdowns or points has been scored, or an arbitrary time is reached (for instance, dusk or the start of school).",False
who is currently serving as president of the senate,Orrin Hatch,"[""Orrin Hatch"", ""Patrick Leahy""]",Sharon Wilson is currently serving as president of the senate.,False
what features of muscle contraction can be determined from an emg (electromyogram),electric potential generated,"[""electric potential generated""]","The electrical activity associated with muscle contraction can be measured via electromyography (EMG). EMG is a common technique used in many disciplines within the exercise and rehab sciences. EMG can measure the action potential of a skeletal muscle, which occurs from the hyperpolarization of the motor axons from nerve impulses sent to the muscle. EMG is used in research for determining if the skeletal muscle of interest is being activated, the amount of force generated, and an indicator of muscle fatigue. The two types of EMG are intramuscular EMG and the most common, surface EMG. EMG signals are much greater when a ske",False
what is the baby elephants name in jungle book,Hathi Jr.,"[""Hathi Jr.""]",Kaa is the name of the large and elderly Indian python in The Jungle Book.,False
when was the latest version of chrome released,2018-01-22,"[""2018-01-22""]","The latest version of Chrome was released on October 8, 2021.",False
what is the revolution period of venus in earth years,224.7 Earth days,"[""224.7 Earth days"", ""0.615198 yr""]",The revolution period of Venus in earth years is 243 years.,False
what is the wave length of x rays,from 0.01 to 10 nanometers,"[""from 0.01 to 10 nanometers""]","The wavelength of x-rays depends on their energy, with higher energy x-rays having shorter wavelengths. According to the context provided, x-rays typically have wavelengths ranging from 0.01 to 10 nanometers, corresponding to frequencies in the range 30 petahertz to 30 exahertz (3×1016 hz to 3×1019 hz) and energies in the range 100 ev to 100 keV.",True
who wrote the song rainy days and mondays,Paul Williams,"[""Paul Williams"", ""Roger Nichols"", ""Roger Nichols and Paul Williams""]","Paul Williams wrote the song ""Rainy Days and Mondays.""",True
leader of carthage in the first punic war,Hanno the Great,"[""Hanno the Great"", ""Xanthippus"", ""Hasdrubal the Fair"", ""Hamilcar Barca""]",I don't know.,False
when was the last year thanksgiving was on the 23rd,2017,"[""2017""]",I don't know.,False
when is season 3 of grace and frankie being released,"March 24, 2017","[""March 24, 2017""]",I don't know.,False
who are the dallas cowboys playing on thanksgiving,Los Angeles Chargers,"[""Los Angeles Chargers"", ""the Detroit Lions""]",I don't know.,False
who want to be a millionaire calls his dad,Carpenter,"[""Carpenter""]",I don't know.,False
where was the original planet of the apes filmed at,Utah,"[""Utah"", ""in northern Arizona"", ""California"", ""Arizona""]","The original Planet of the Apes film was shot on location at Malibu Creek State Park, which was formerly the 20th Century Fox Movie Ranch.",False
who was the inventor who developed a way to record sound,Thomas Edison,"[""Thomas Edison""]",Édouard-Léon Scott de Martinville is the inventor who developed a way to record sound.,False
who is the current cruiserweight champion in wwe,Cedric Alexander,"[""Cedric Alexander"", ""Cedric Alexander,""]",Kalisto is the current cruiserweight champion in WWE.,False
star cast of ab tumhare hawale watan sathiyon,Bobby Deol,"[""Bobby Deol"", ""Akshay Kumar"", ""Divya Khosla Kumar"", ""Nagma"", ""Amitabh Bachchan"", ""Sandali Sinha""]","The star cast of ""Ab Tumhare Hawale Watan Saathiyo"" includes Amitabh Bachchan, Akshay Kumar, Bobby Deol, Divya Khosla Kumar, Sandali Sinha, Nagma, Mahira Khan, Shabbir Ahluwalia, Sriti Jha, Madhurima Tuli, Leena Jumani, Faisal Rashid, Supriya Shukla, Anurag Sharma, Neel Motawani, Barun Sobti, Sanaya Irani, Daljeet Kaur Bhanot, Deepali Pansare, Akshay Dohra, Jayshree T., Tuhina",True
where do the maple leafs play hockey in toronto,Air Canada Centre,"[""Air Canada Centre"", ""the Air Canada Centre""]",The Maple Leafs play hockey at the Air Canada Centre in downtown Toronto.,True
what nfl player has the most nfl rings,Charles Haley,"[""Charles Haley"", ""Neal Dahlen"", ""Bill Belichick"", ""Tom Brady"", ""\""Mean Joe\"" Greene""]",I don't know.,False
when did harvard become an ivy league school,1945,"[""1945""]",Harvard became an Ivy League school in 1954 when it was admitted into the Ivy League along with Yale and Princeton.,False
i like the way you move video cast,Big Boi,"[""Big Boi"", ""Sleepy Brown"", ""Fonzworth Bentley"", ""actress Ki Toy Johnson"", ""Ki Toy Johnson""]",I don't know.,False
who did university of miami play last week,FIU,"[""FIU""]",Miami played Nebraska last week.,False
when was the last time kentucky won ncaa,2012,"[""2012""]",I don't know.,False
the most common form of megalithic architecture in europe is,the portal tomb,"[""the portal tomb"", ""portal tomb""]",Portal tomb.,True
what is the full form of ib board,International Baccalaureate,"[""International Baccalaureate"", ""The International Baccalaureate""]",I don't know.,False
who plays chris grandy in 13 going on 30,Jim Gaffigan,"[""Jim Gaffigan"", ""Alex Black""]",Chris Grandy is played by Joshua Leonard in 13 Going on 30.,False
who sings i wanna rock'n'roll all night,Kiss,"[""Kiss""]","Axl Rose of Guns N' Roses sings ""I Wanna Rock"" and ""Rock and Roll All Nite"" by Kiss.",True
word that means separation of church and state,separationism,"[""separationism""]",Separation of church and state.,False
is greenland part of europe or north america,North America,"[""North America""]","Greenland is generally considered to be part of North America, although it is located near Europe and is closest to the continent of Iceland. However, it is also sometimes considered part of Europe due to its cultural and sociopolitical ties to the continent.",True
what is the title of the person who runs the house of representatives,the Speaker of the House,"[""the Speaker of the House"", ""Speaker of the House""]",Speaker of the House,True
when did brent barry won the dunk contest,1996,"[""1996""]",I don't know.,False
prior to 1948 north and south vietnam were a part of,France,"[""France""]","prior to 1948, north and south vietnam were a part of French Indochina.",False
what is the order of the netflix marvel shows,Marvel's Iron Fist,"[""Marvel's Iron Fist"", ""Marvel's Daredevil"", ""Marvel's The Punisher"", ""Marvel's Jessica Jones"", ""Marvel's The Defenders"", ""Marvel's Luke Cage""]","The order of the Netflix Marvel shows is: Jessica Jones, Daredevil, Luke Cage, Iron Fist, and then The Defenders.",False
when did teenage mutant ninja turtles come out,1984,"[""1984""]",Teenage Mutant Ninja Turtles was first released in 1990.,False
which of the following helmiths feeds on blood,Necator americanus,"[""Necator americanus"", ""Ancylostoma duodenale""]",All blood-sucking leeches feed on blood.,False
what is the biggest town in west virginia,Charleston,"[""Charleston""]",Morgantown is the biggest town in West Virginia.,False
when was the last time new zealand had an earthquake,11 Jul 2017,"[""11 Jul 2017""]",I don't know.,False
when does wentworth season 6 start in australia,2019,"[""2019"", ""19 June 2018""]",I don't know.,False
who said one man's vulgarity is another's lyric,Justice Harlan,"[""Justice Harlan""]","Justice John Marshall Harlan II said ""one man's vulgarity is another man's lyric"" in the majority opinion of the case Cohen v. California (1971).",False
who won first ancient olympic 200 yard race,Coroebus of Elis,"[""Coroebus of Elis""]",The winner of the first ancient Olympic 200 yard race is not specified in the context provided.,False
when is the publishers clearing house sweepstakes drawing,just after the Super Bowl,"[""just after the Super Bowl""]",I don't know.,False
where does creatine come from in the body,kidneys,"[""kidneys"", ""liver"", ""the liver and kidneys"", ""arginine"", ""glycine""]","Creatine primarily comes from the body through the synthesis in the liver and kidneys, with some also obtained through the diet. It is then transported to the muscles via the blood.",True
who became a leader of the indian national congress,Mahatma Gandhi,"[""Mahatma Gandhi""]",Jawaharlal Nehru became a leader of the Indian National Congress.,False
where is the 7th game of the world series played,"Dodger Stadium, Los Angeles","[""Dodger Stadium, Los Angeles""]","The 7th game of the 1987 World Series was played at the Metrodome in Minneapolis, Minnesota.",False
when was theme from a summer place released,1960,"[""1960"", ""1959"", ""September 1959""]",I don't know.,False
total strength of judges in supreme court of india,24,"[""24"", ""24 judges""]",The total strength of judges in the Supreme Court of India is 31.,False
where does the name de la rosa come from,Spanish,"[""Spanish""]","The name ""de la rosa"" comes from the Spanish language, which means ""of the rose."" It is a surname that may refer to the rose flower or the Spanish colonizers who settled in the area and brought their Catholicism.",True
who gets the golden boot if its a tie,shared,"[""shared""]","If there is a tie for the Golden Boot in the Premier League, the award is shared among the tied players.",True
rain sleet or snow that contains a high concentration of acids is called,Acid rain,"[""Acid rain"", ""\""Acid rain\""""]",acid rain.,True
what are the monomer building blocks of dna and rna,Nucleotides,"[""Nucleotides""]",The monomer building blocks of DNA and RNA are nucleotides.,True
who played pink in pink floyd the wall,Kevin McKeon as Young Pink,"[""Kevin McKeon as Young Pink"", ""Bob Geldof as Pink"", ""David Bingham as Little Pink"", ""Bob Geldof"", ""David Bingham"", ""Kevin McKeon""]",Roger Waters played Pink in Pink Floyd's The Wall.,False
who wrote the song stop the world and let me off,W. S. Stevenson,"[""W. S. Stevenson"", ""Carl Belew""]","The song ""Stop the World and Let Me Off"" was written by Joni Mitchell.",False
